Account Number,Fund Number,Fund,Group Fund,Department,Division,Basic Activity,Sub Activity,Element,Account Name,Year,Amount,,,,,,,,,,,,,,
012-9901-418.03-61,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,NON DEPARTMENTAL,SPECIAL PROJECTS,GENERAL GOVERNMENT,SPECIAL PROJECTS,PROFESSIONAL SERVICES,PAYMENT TO AGENCIES,2011,"$250,000",,,,,,,,,,,,,,
012-9901-418.05-06,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,NON DEPARTMENTAL,SPECIAL PROJECTS,GENERAL GOVERNMENT,SPECIAL PROJECTS,OTHER SERVICES,ADVERTISING/PROMOTIONAL,2011,$0,,,,,,,,,,,,,,
012-9901-418.06-30,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,NON DEPARTMENTAL,SPECIAL PROJECTS,GENERAL GOVERNMENT,SPECIAL PROJECTS,SUPPLIES,OPERATNG SUPPLIES,2011,"$70,450",,,,,,,,,,,,,,
012-9901-418.06-65,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,NON DEPARTMENTAL,SPECIAL PROJECTS,GENERAL GOVERNMENT,SPECIAL PROJECTS,SUPPLIES,OTHER SUPPLIES/SERVICES,2011,"$286,000",,,,,,,,,,,,,,
012-9901-418.08-95,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,NON DEPARTMENTAL,SPECIAL PROJECTS,GENERAL GOVERNMENT,SPECIAL PROJECTS,CAPITAL IMPROVEMENTS,OTHER CAPITAL CONTRACTS,2011,$0,,,,,,,,,,,,,,
016-0729-492.01-01,16,SMALL RENTAL PROP PROG,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,SALARIES/WAGES,FULL TIME SALARIES,2011,$0,,,,,,,,,,,,,,
016-0729-492.02-30,16,SMALL RENTAL PROP PROG,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,EMPLOYEE BENEFITS,FICA/MEDICARE,2011,$0,,,,,,,,,,,,,,
016-0729-492.02-35,16,SMALL RENTAL PROP PROG,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,EMPLOYEE BENEFITS,RETIREMENT - IMRF,2011,$0,,,,,,,,,,,,,,
016-0729-492.02-50,16,SMALL RENTAL PROP PROG,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2011,$0,,,,,,,,,,,,,,
016-0729-492.02-55,16,SMALL RENTAL PROP PROG,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2011,$105,,,,,,,,,,,,,,
016-0729-492.03-11,16,SMALL RENTAL PROP PROG,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROFESSIONAL SERVICES,GRANT ADMINISTRATION,2011,"$25,625",,,,,,,,,,,,,,
