Account Number,Fund Number,Fund Name,Fund Group,Department,Division,Account Description,Sub Account Description,Element Description,Object Description,Year,Amount
012-0000-300.00-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2011,"$70,450"
012-0000-316.10-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,TAXES,OTHER TAXES,AMUSEMENT TAX,,2011,"$250,000"
012-0000-361.10-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$0
012-0000-361.20-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2011,$0
012-0000-361.50-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2011,$0
012-0000-365.01-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,I NET EQUIPMENT,,2011,$0
012-0000-365.02-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,HUMAN RIGHT COMM DONATION,,2011,$0
012-0000-365.40-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,GIFTS,,2011,$0
012-0000-365.46-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,POLICE PROJECTS,,2011,"$286,000"
012-0000-365.47-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,ANIMAL SHELTER DONATIONS,,2011,$0
012-0000-365.50-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,LOCL LAW ENFORCMT BLK GRT,,2011,$0
012-0000-365.79-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,ECONOMIC DEVELOPMENT,,2011,$0
012-0000-365.89-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,EMS/FIRE DONATIONS,,2011,$0
012-0000-365.98-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,CABLE PROGRAMMING FUND,,2011,$0
012-0000-392.20-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,SALE OF CITY PROPERTY,SALE OF SURPLUS PROPERTY,,2011,$0
016-0000-331.60-00,16,SMALL RENTAL PROP PROG,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,FEDERAL GRANT,HOUSING REHAB GRANT,,2011,"$150,730"
017-0000-331.60-00,17,SFOOR GRANT,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,FEDERAL GRANT,HOUSING REHAB GRANT,,2011,"$120,270"
018-0000-300.00-00,18,TOURISM FUND,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2011,$0
018-0000-314.10-00,18,TOURISM FUND,SPECIAL REVENUE FUNDS,,,TAXES,SELECTIVE SALES/USE TAXES,HOTEL/MOTEL TAX,,2011,"$800,000"
018-0000-361.10-00,18,TOURISM FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$480
018-0000-361.20-00,18,TOURISM FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2011,$0
018-0000-361.50-00,18,TOURISM FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2011,$0
018-0000-361.51-00,18,TOURISM FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON LOANS,,2011,$0
018-0000-363.15-00,18,TOURISM FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,FACILITY RENTAL,,2011,$0
018-0000-395.30-00,18,TOURISM FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2011,$0
019-0000-331.60-00,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,FEDERAL GRANT,HOUSING REHAB GRANT,,2011,"$827,930"
025-0000-300.00-00,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2011,$0
025-0000-331.60-00,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,FEDERAL GRANT,HOUSING REHAB GRANT,,2011,"$3,992,225"
110-0000-300.00-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2011,"$81,525"
110-0000-311.10-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2011,"$2,652,600"
110-0000-315.20-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,TAXES,INCOME TAXES,CORP PERS REPLACEMENT TAX,,2011,"$36,770"
110-0000-334.90-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,OTHER FED/STATE GRANTS,,2011,$0
110-0000-335.60-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,LIBRARY GRANTS,PER CAPITA GRANT,,2011,"$45,000"
110-0000-341.10-03,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,FEES FOR COPIES,PHOTOCOPIES,2011,"$8,500"
110-0000-341.90-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,RENTAL BOOK COLLECTION,,2011,"$2,000"
110-0000-347.10-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CULTURE,NON-RESIDENT FEES,,2011,$700
110-0000-347.20-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CULTURE,VIDEO RENTAL - DT,,2011,$0
110-0000-347.30-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CULTURE,VIDEO RENTAL - MPL,,2011,"$14,000"
110-0000-347.40-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CULTURE,MEETING ROOM RENTAL,,2011,"$13,000"
110-0000-353.30-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,FINES AND FORFEITURES,PENALTIES,LATE/OVERDUE PENALTIES,,2011,"$75,000"
110-0000-353.40-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,FINES AND FORFEITURES,PENALTIES,LATE VIDEO FINES,,2011,$0
110-0000-361.10-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$100
110-0000-361.20-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2011,$0
110-0000-361.50-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2011,$0
