Source Indicator ID,Source Name,Indicator Category,Indicator Name,Indicator Description,Year,Location,Value,Unit,Desired Direction
B25097_002E,American Community Survey,Housing,Median Home Value: Units with Mortgages,"Median home value for units with mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2018,CA-24,610700,USD ($),high
B25077_001E,American Community Survey,Housing,Median Home Value,"Median home value. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2018,CA-24,605600,USD ($),high
B25097_003E,American Community Survey,Housing,Median Home Value: Units Without Mortgages,"Median home value for units without mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2018,CA-24,593800,USD ($),high
B25097_002E,American Community Survey,Housing,Median Home Value: Units with Mortgages,"Median home value for units with mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2017,CA-24,573400,USD ($),high
B25077_001E,American Community Survey,Housing,Median Home Value,"Median home value. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2017,CA-24,572300,USD ($),high
B25097_003E,American Community Survey,Housing,Median Home Value: Units Without Mortgages,"Median home value for units without mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2017,CA-24,569400,USD ($),high
B25097_002E,American Community Survey,Housing,Median Home Value: Units with Mortgages,"Median home value for units with mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2018,CA,566100,USD ($),high
B25097_002E,American Community Survey,Housing,Median Home Value: Units with Mortgages,"Median home value for units with mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2016,CA-24,560700,USD ($),high
B25077_001E,American Community Survey,Housing,Median Home Value,"Median home value. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2018,CA,546800,USD ($),high
B25077_001E,American Community Survey,Housing,Median Home Value,"Median home value. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2016,CA-24,544500,USD ($),high
B25097_003E,American Community Survey,Housing,Median Home Value: Units Without Mortgages,"Median home value for units without mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2015,CA-24,533500,USD ($),high
B25097_002E,American Community Survey,Housing,Median Home Value: Units with Mortgages,"Median home value for units with mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2017,CA,529000,USD ($),high
B25077_001E,American Community Survey,Housing,Median Home Value,"Median home value. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2015,CA-24,524700,USD ($),high
B25097_002E,American Community Survey,Housing,Median Home Value: Units with Mortgages,"Median home value for units with mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2015,CA-24,520400,USD ($),high
B25077_001E,American Community Survey,Housing,Median Home Value,"Median home value. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2017,CA,509400,USD ($),high
B25097_003E,American Community Survey,Housing,Median Home Value: Units Without Mortgages,"Median home value for units without mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2016,CA-24,507500,USD ($),high
B25097_003E,American Community Survey,Housing,Median Home Value: Units Without Mortgages,"Median home value for units without mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2018,CA,494300,USD ($),high
B25097_002E,American Community Survey,Housing,Median Home Value: Units with Mortgages,"Median home value for units with mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2016,CA,491100,USD ($),high
B25077_001E,American Community Survey,Housing,Median Home Value,"Median home value. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2016,CA,477500,USD ($),high
B25097_003E,American Community Survey,Housing,Median Home Value: Units Without Mortgages,"Median home value for units without mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2017,CA,466300,USD ($),high
B25097_002E,American Community Survey,Housing,Median Home Value: Units with Mortgages,"Median home value for units with mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2015,CA,462000,USD ($),high
B25077_001E,American Community Survey,Housing,Median Home Value,"Median home value. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2015,CA,449100,USD ($),high
B25097_003E,American Community Survey,Housing,Median Home Value: Units Without Mortgages,"Median home value for units without mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2016,CA,435300,USD ($),high
B25097_003E,American Community Survey,Housing,Median Home Value: Units Without Mortgages,"Median home value for units without mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2015,CA,407500,USD ($),high
B25097_002E,American Community Survey,Housing,Median Home Value: Units with Mortgages,"Median home value for units with mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2018,US,252300,USD ($),high
B25097_002E,American Community Survey,Housing,Median Home Value: Units with Mortgages,"Median home value for units with mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2017,US,239800,USD ($),high
B25077_001E,American Community Survey,Housing,Median Home Value,"Median home value. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2018,US,229700,USD ($),high
B25097_002E,American Community Survey,Housing,Median Home Value: Units with Mortgages,"Median home value for units with mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2016,US,227100,USD ($),high
B25077_001E,American Community Survey,Housing,Median Home Value,"Median home value. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2017,US,217600,USD ($),high
B25097_002E,American Community Survey,Housing,Median Home Value: Units with Mortgages,"Median home value for units with mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2015,US,215500,USD ($),high
B25077_001E,American Community Survey,Housing,Median Home Value,"Median home value. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2016,US,205000,USD ($),high
B25077_001E,American Community Survey,Housing,Median Home Value,"Median home value. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2015,US,194500,USD ($),high
B25097_003E,American Community Survey,Housing,Median Home Value: Units Without Mortgages,"Median home value for units without mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2018,US,186300,USD ($),high
B25097_003E,American Community Survey,Housing,Median Home Value: Units Without Mortgages,"Median home value for units without mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2017,US,174500,USD ($),high
B25097_003E,American Community Survey,Housing,Median Home Value: Units Without Mortgages,"Median home value for units without mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2016,US,166800,USD ($),high
B25097_003E,American Community Survey,Housing,Median Home Value: Units Without Mortgages,"Median home value for units without mortgages. Value is the respondent's estimate of how much the property (house and lot, mobile home and lot, or condominium unit) would sell for if it were for sale. For vacant units, value was the price asked for the property.",2015,US,160900,USD ($),high
B24041_011E,American Community Survey,Income,"Median Earnings in Industry: Transportation and warehousing, and utilities!!Utilities","Median earnings in the past 12 months for full-time year-round employed people above age of 16 years in Industry: Transportation and warehousing, and utilities!!Utilities.",2017,CA-24,124358,USD ($),high
B24041_011E,American Community Survey,Income,"Median Earnings in Industry: Transportation and warehousing, and utilities!!Utilities","Median earnings in the past 12 months for full-time year-round employed people above age of 16 years in Industry: Transportation and warehousing, and utilities!!Utilities.",2018,CA-24,121413,USD ($),high
B24041_011E,American Community Survey,Income,"Median Earnings in Industry: Transportation and warehousing, and utilities!!Utilities","Median earnings in the past 12 months for full-time year-round employed people above age of 16 years in Industry: Transportation and warehousing, and utilities!!Utilities.",2016,CA-24,108682,USD ($),high
B24041_011E,American Community Survey,Income,"Median Earnings in Industry: Transportation and warehousing, and utilities!!Utilities","Median earnings in the past 12 months for full-time year-round employed people above age of 16 years in Industry: Transportation and warehousing, and utilities!!Utilities.",2015,CA-24,104621,USD ($),high
B25119_002E,American Community Survey,Income,Median Household Income: Homeowners ,"Median household income in the past 12 months, for households that own the housing unit they occupy. For five-year periods, this value is inflation-adjusted to the last year of the range.",2018,CA-24,100328,USD ($),high
B25119_002E,American Community Survey,Income,Median Household Income: Homeowners ,"Median household income in the past 12 months, for households that own the housing unit they occupy. For five-year periods, this value is inflation-adjusted to the last year of the range.",2018,CA,99245,USD ($),high
B19049_004E,American Community Survey,Income,Median Household Income: Householder 45 to 64 Years,"Median household income in the past 12 months, for householders between 45 and 64 years old. For five-year periods, this value is inflation-adjusted to the last year of the range.",2008,CA-24,99223,USD ($),high
B24041_004E,American Community Survey,Income,"Median Earnings in Industry: Agriculture, forestry, fishing and hunting, and mining!!Mining, quarrying, and oil and gas extraction","Median earnings in the past 12 months for full-time year-round employed people above age of 16 years in Industry: Agriculture, forestry, fishing and hunting, and mining!!Mining, quarrying, and oil and gas extraction.",2018,CA-24,97690,USD ($),high
B19049_004E,American Community Survey,Income,Median Household Income: Householder 45 to 64 Years,"Median household income in the past 12 months, for householders between 45 and 64 years old. For five-year periods, this value is inflation-adjusted to the last year of the range.",2011,CA-24,96140,USD ($),high
B25119_002E,American Community Survey,Income,Median Household Income: Homeowners ,"Median household income in the past 12 months, for households that own the housing unit they occupy. For five-year periods, this value is inflation-adjusted to the last year of the range.",2017,CA,95794,USD ($),high
B19049_004E,American Community Survey,Income,Median Household Income: Householder 45 to 64 Years,"Median household income in the past 12 months, for householders between 45 and 64 years old. For five-year periods, this value is inflation-adjusted to the last year of the range.",2009,CA-24,95358,USD ($),high
B25119_002E,American Community Survey,Income,Median Household Income: Homeowners ,"Median household income in the past 12 months, for households that own the housing unit they occupy. For five-year periods, this value is inflation-adjusted to the last year of the range.",2017,CA-24,95120,USD ($),high
B24041_011E,American Community Survey,Income,"Median Earnings in Industry: Transportation and warehousing, and utilities!!Utilities","Median earnings in the past 12 months for full-time year-round employed people above age of 16 years in Industry: Transportation and warehousing, and utilities!!Utilities.",2018,CA,92031,USD ($),high
B24041_017E,American Community Survey,Income,"Median Earnings in Industry: Professional, scientific, and management, and administrative, and waste management services!!Professional, scientific, and technical services","Median earnings in the past 12 months for full-time year-round employed people above age of 16 years in Industry: Professional, scientific, and management, and administrative, and waste management services!!Professional, scientific, and technical services.",2018,CA,92002,USD ($),high
B19049_004E,American Community Survey,Income,Median Household Income: Householder 45 to 64 Years,"Median household income in the past 12 months, for householders between 45 and 64 years old. For five-year periods, this value is inflation-adjusted to the last year of the range.",2010,CA-24,91399,USD ($),high
B24041_018E,American Community Survey,Income,"Median Earnings in Industry: Professional, scientific, and management, and administrative, and waste management services!!Management of companies and enterprises","Median earnings in the past 12 months for full-time year-round employed people above age of 16 years in Industry: Professional, scientific, and management, and administrative, and waste management services!!Management of companies and enterprises.",2011,CA-24,91204,USD ($),high
B19049_004E,American Community Survey,Income,Median Household Income: Householder 45 to 64 Years,"Median household income in the past 12 months, for householders between 45 and 64 years old. For five-year periods, this value is inflation-adjusted to the last year of the range.",2018,CA-24,91083,USD ($),high
B25119_002E,American Community Survey,Income,Median Household Income: Homeowners ,"Median household income in the past 12 months, for households that own the housing unit they occupy. For five-year periods, this value is inflation-adjusted to the last year of the range.",2016,CA,91056,USD ($),high
B24041_012E,American Community Survey,Income,Median Earnings in Industry: Information,Median earnings in the past 12 months for full-time year-round employed people above age of 16 years in Industry: Information.,2018,CA,90493,USD ($),high
B24041_017E,American Community Survey,Income,"Median Earnings in Industry: Professional, scientific, and management, and administrative, and waste management services!!Professional, scientific, and technical services","Median earnings in the past 12 months for full-time year-round employed people above age of 16 years in Industry: Professional, scientific, and management, and administrative, and waste management services!!Professional, scientific, and technical services.",2017,CA,90298,USD ($),high
B24041_018E,American Community Survey,Income,"Median Earnings in Industry: Professional, scientific, and management, and administrative, and waste management services!!Management of companies and enterprises","Median earnings in the past 12 months for full-time year-round employed people above age of 16 years in Industry: Professional, scientific, and management, and administrative, and waste management services!!Management of companies and enterprises.",2017,CA,89718,USD ($),high
B19049_004E,American Community Survey,Income,Median Household Income: Householder 45 to 64 Years,"Median household income in the past 12 months, for householders between 45 and 64 years old. For five-year periods, this value is inflation-adjusted to the last year of the range.",2018,CA,88822,USD ($),high
B24041_011E,American Community Survey,Income,"Median Earnings in Industry: Transportation and warehousing, and utilities!!Utilities","Median earnings in the past 12 months for full-time year-round employed people above age of 16 years in Industry: Transportation and warehousing, and utilities!!Utilities.",2017,CA,88234,USD ($),high
B24041_011E,American Community Survey,Income,"Median Earnings in Industry: Transportation and warehousing, and utilities!!Utilities","Median earnings in the past 12 months for full-time year-round employed people above age of 16 years in Industry: Transportation and warehousing, and utilities!!Utilities.",2012,CA-24,87959,USD ($),high
B24041_011E,American Community Survey,Income,"Median Earnings in Industry: Transportation and warehousing, and utilities!!Utilities","Median earnings in the past 12 months for full-time year-round employed people above age of 16 years in Industry: Transportation and warehousing, and utilities!!Utilities.",2014,CA-24,87425,USD ($),high
B24041_011E,American Community Survey,Income,"Median Earnings in Industry: Transportation and warehousing, and utilities!!Utilities","Median earnings in the past 12 months for full-time year-round employed people above age of 16 years in Industry: Transportation and warehousing, and utilities!!Utilities.",2016,CA,87409,USD ($),high
B24041_011E,American Community Survey,Income,"Median Earnings in Industry: Transportation and warehousing, and utilities!!Utilities","Median earnings in the past 12 months for full-time year-round employed people above age of 16 years in Industry: Transportation and warehousing, and utilities!!Utilities.",2013,CA-24,87294,USD ($),high
B25119_002E,American Community Survey,Income,Median Household Income: Homeowners ,"Median household income in the past 12 months, for households that own the housing unit they occupy. For five-year periods, this value is inflation-adjusted to the last year of the range.",2015,CA,87279,USD ($),high
B25119_002E,American Community Survey,Income,Median Household Income: Homeowners ,"Median household income in the past 12 months, for households that own the housing unit they occupy. For five-year periods, this value is inflation-adjusted to the last year of the range.",2015,CA-24,87236,USD ($),high
