Source Indicator ID,Source Name,Indicator Category,Indicator Name,Indicator Description,Year,Location,Value,Unit,Desired Direction
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2008,CA-24,666524,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2008,CA,36756666,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2008,US,304059728,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2009,CA-24,676531,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2009,CA,36961664,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2009,US,307006556,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2010,CA-24,687108,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2010,CA,37349363,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2010,US,309349689,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2011,CA-24,694489,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2011,CA,37691912,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2011,US,311591919,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2012,CA-24,716974,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2012,CA,38041430,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2012,US,313914040,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2013,CA-24,722008,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2013,CA,38332521,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2013,US,316128839,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2014,CA-24,726519,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2014,CA,38802500,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2014,US,318857056,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2015,CA-24,736757,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2015,CA,39144818,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2015,US,321418821,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2016,CA-24,738700,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2016,CA,39250017,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2016,US,323127515,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2017,CA-24,740039,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2017,CA,39536653,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2017,US,325719178,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2018,CA-24,738707,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2018,CA,39557045,People,high
B01001_001E,American Community Survey,Demographics,Total Population,Total number of people in the area.,2018,US,327167439,People,high
