Source Indicator ID,Source Name,Indicator Category,Indicator Name,Indicator Description,Year,Location,Value,Unit
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2008,CA-24,"
38.3",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2008,CA,"
34.9",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2008,US,"
36.9",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2009,CA-24,"
38.2",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2009,CA,"
34.9",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2009,US,"
36.8",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2010,CA-24,"
38.5",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2010,CA,"
35.2",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2010,US,"
37.2",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2011,CA-24,"
39.8",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2011,CA,"
35.4",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2011,US,"
37.3",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2012,CA-24,"
35.6",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2012,CA,"
35.5",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2012,US,"
37.4",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2013,CA-24,"
35.9",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2013,CA,"
35.7",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2013,US,"
37.5",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2014,CA-24,"
35.6",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2014,CA,"
36.0",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2014,US,"
37.7",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2015,CA-24,"
35.8",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2015,CA,"
36.2",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2015,US,"
37.8",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2016,CA-24,"
35.8",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2016,CA,"
36.4",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2016,US,"
37.9",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2017,CA-24,"
36.0",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2017,CA,"
36.5",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2017,US,"
38.1",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2018,CA-24,"
36.1",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2018,CA,"
36.7",years
B01002_001E,American Community Survey,Demographics,Overall Median Age,Median age across the full population,2018,US,"
38.2",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2008,CA-24,"
37.3",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2008,CA,"
33.7",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2008,US,"
35.5",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2009,CA-24,"
37.0",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2009,CA,"
33.7",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2009,US,"
35.4",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2010,CA-24,"
37.1",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2010,CA,"
34.0",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2010,US,"
35.8",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2011,CA-24,"
38.4",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2011,CA,"
34.2",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2011,US,"
35.9",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2012,CA-24,"
34.3",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2012,CA,"
34.4",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2012,US,"
36.1",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2013,CA-24,"
34.3",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2013,CA,"
34.6",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2013,US,"
36.2",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2014,CA-24,"
34.1",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2014,CA,"
34.9",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2014,US,"
36.3",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2015,CA-24,"
34.6",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2015,CA,"
35.1",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2015,US,"
36.5",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2016,CA-24,"
34.6",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2016,CA,"
35.3",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2016,US,"
36.6",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2017,CA-24,"
34.6",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2017,CA,"
35.4",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2017,US,"
36.8",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2018,CA-24,"
34.9",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2018,CA,"
35.6",years
B01002_002E,American Community Survey,Demographics,Median Age of Male Population,Median age across the full male population.,2018,US,"
36.9",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2008,CA-24,"
39.3",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2008,CA,"
36.0",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2008,US,"
38.2",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2009,CA-24,"
39.5",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2009,CA,"
36.1",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2009,US,"
38.2",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2010,CA-24,"
39.7",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2010,CA,"
36.3",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2010,US,"
38.5",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2011,CA-24,"
40.8",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2011,CA,"
36.5",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2011,US,"
38.7",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2012,CA-24,"
37.3",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2012,CA,"
36.7",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2012,US,"
38.8",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2013,CA-24,"
37.6",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2013,CA,"
36.9",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2013,US,"
38.9",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2014,CA-24,"
37.6",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2014,CA,"
37.1",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2014,US,"
39.0",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2015,CA-24,"
37.2",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2015,CA,"
37.4",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2015,US,"
39.1",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2016,CA-24,"
37.1",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2016,CA,"
37.5",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2016,US,"
39.2",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2017,CA-24,"
37.5",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2017,CA,"
37.8",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2017,US,"
39.4",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2018,CA-24,"
37.7",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2018,CA,"
37.9",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2018,US,"
39.6",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2008,CA-24,"
43.9",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2008,CA,"
41.9",years
