Transaction Type,Payee/Customer/Vendor Name,Amount,Object,Transaction Description,Posting Date,Transaction ID,Fund,Dept,Div,Fund1,Dept1,Div1,Record Number,Fiscal Year
RV,NOT APPLICABLE,"$13,000.00 ",491.114,TRANSFER FROM PROPRIETARY FUND - 491.1140,20120701,2012-00011220 - 3643415,101,790,9500,101 - GENERAL ,790 - OPERATING TRANSFERS,9500 - GENERAL SERVICES,1,2013
EX,NOT APPLICABLE,"$12,861.00 ",4343,SOFTWARE/HARDWARE AGREE. - 4343,20120701,2013-00004635 - 3728209,501,632,6400,501 - WASTEWATER,632 - SANITATION,6400 - WASTEWATER,2,2013
EX,NOT APPLICABLE,"$13,000.00 ",9010,TRANSFER TO GENERAL FUND - 9010,20120701,2012-00011220 - 3643413,501,790,6400,501 - WASTEWATER,790 - OPERATING TRANSFERS,6400 - WASTEWATER,3,2013
EX,NOT APPLICABLE,"$52,704.00 ",3220,MEDICAL SERVICES - 3220,20120701,2013-00004635 - 3728261,610,618,2040,610 - NORTHWEST AZ EMP BENEFIT TRUST,618 - PERS ADMIN,2040 - HUMAN RESOURCES,4,2013
RV,NOT APPLICABLE,"$5,743.57 ",413.1,CITY SALES TAX - 413.1000,20120702,2013-00000189 - 3582829,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,5,2013
RV,NOT APPLICABLE,"$5,743.57 ",413.1,CITY SALES TAX - 413.1000,20120702,2013-00001980 - 3636327,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,6,2013
EX,WATER INFRASTRUCTURE FINANCE,"$5,896.06 ",3160,SID #1 SEMI-ANNUAL PAYMENT 7/12 - 3160,20120702,3994 - 910027-98 7/12 - 07/02/2012 - 7031,406,670,6482,406 - SID#1,670 - DEBT SERVICE,6482 - SEWER IMPROVEMENT DIST 1,7,2013
EX,WATER INFRASTRUCTURE FINANCE,"$62,498.19 ",8041,SID #1 SEMI-ANNUAL PAYMENT 7/12 - 8041,20120702,3994 - 910027-98 7/12 - 07/02/2012 - 4853,406,670,6482,406 - SID#1,670 - DEBT SERVICE,6482 - SEWER IMPROVEMENT DIST 1,8,2013
EX,WATER INFRASTRUCTURE FINANCE,"$8,769.43 ",3160,SID #2 SEMI-ANNUAL PAYMENT 7/12 - 3160,20120702,3994 - 910057-04 7/12 - 07/02/2012 - 7032,407,670,6483,407 - SID#2,670 - DEBT SERVICE,6483 - SEWER IMPROVEMENT DIST 2,9,2013
EX,WATER INFRASTRUCTURE FINANCE,"$84,537.28 ",8041,SID #2 SEMI-ANNUAL PAYMENT 7/12 - 8041,20120702,3994 - 910057-04 7/12 - 07/02/2012 - 4884,407,670,6483,407 - SID#2,670 - DEBT SERVICE,6483 - SEWER IMPROVEMENT DIST 2,10,2013
EX,WATER INFRASTRUCTURE FINANCE,"$59,476.88 ",3160,SID #3 SEMI-ANNUAL PAYMENT 7/12 - 3160,20120702,3994 - 910081-06 7/12 - 07/02/2012 - 7033,408,670,6484,408 - SID#3,670 - DEBT SERVICE,6484 - SEWER IMPROVEMENT DIST 3,11,2013
EX,WATER INFRASTRUCTURE FINANCE,"$231,959.84 ",8041,SID #3 SEMI-ANNUAL PAYMENT 7/12 - 8041,20120702,3994 - 910081-06 7/12 - 07/02/2012 - 4918,408,670,6484,408 - SID#3,670 - DEBT SERVICE,6484 - SEWER IMPROVEMENT DIST 3,12,2013
EX,"MCKEE, DELORES  PETICA","$8,602.80 ",3215,PUBLIC DEFENDER CONTRACT - 3215,20120705,4570 - JULY 2012 - 07/05/2012 - 1586,101,619,9500,101 - GENERAL ,619 - GEN GOVT,9500 - GENERAL SERVICES,13,2013
EX,NORTHWEST ARIZONA EMPLOYEE BENEFIT TRUST,"$217,458.92 ",3220,EMPLOYEE BENEFIT  - 3220,20120705,512 - NORTHWEST 070112 - 07/05/2012 - 6776,610,618,2040,610 - NORTHWEST AZ EMP BENEFIT TRUST,618 - PERS ADMIN,2040 - HUMAN RESOURCES,14,2013
