Transaction Type,Payee/Customer/Vendor Name,Amount,Object,Transaction Description,Posting Date,Transaction ID,Fund,Dept,Div,Fund1,Dept1,Div1,Record Number,Fiscal Year,Entity Name,Organization Level 1 Name,Organization Level 2 Name,Payee DBA Name,Vendor ID Code,Transaction Reference ID,Contract Name,Contract Number,Payment Method,Dept_Name,Year,Fund_Name
EX,ABC SUPPLY CO INC,"$6,194.14 ",7320,"SUPERLT 8816 STD BLOCK TAN, SUPERLITE PALLET - 7320",20180117,7737 - 66504568 - 01/17/2018 - 2189,101,700,3550,101 - GENERAL ,700 - CAPITAL OUTLAY,3550 - PARKS MAINTENANCE,2218,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,7737,3024092,NULL,NULL,CHECK,Capital Outlay,2018,GENERAL 
EX,AIR SCIENCE USA LLC,"$8,373.00 ",7410,60 W DUPLEX FORENSIC EVIDENCE DRYING CABINET - 7410,20171114,20267 - 40488 - 11/14/2017 - 10403,101,700,5020,101 - GENERAL ,700 - CAPITAL OUTLAY,5020 - POLICE CRIMINAL INVESTGNS,1730,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,20267,3023285,NULL,NULL,CHECK,Capital Outlay,2017,GENERAL 
EX,"ALPINE ARMORING, INC.","$71,750.00 ",7420,50% DEPOSIT REQUIRED ON ARMORED 2017 FORD TRANSIT 350HD EXT VAN - 7420,20171005,20245 - A172609-AZ1 - 10/05/2017 - 2200,101,700,5000,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,1456,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,20245,3022697,NULL,NULL,CHECK,Capital Outlay,2017,GENERAL 
EX,AQUATIC ENVIRONMENTAL SYSTEMS INC,"$6,026.66 ",7320,"WATER CHEMISTRY CONTROLLER,BRIQUETTE FEEDER,CHEMICAL FEED PUMP  - 7320",20170816,99112 - IN41577 - 08/16/2017 - 2189,101,700,3550,101 - GENERAL ,700 - CAPITAL OUTLAY,3550 - PARKS MAINTENANCE,1101,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,99112,3021950,NULL,NULL,CHECK,Capital Outlay,2017,GENERAL 
EX,ARIZONA EMERGENCY PRODUCTS,"$61,443.08 ",7420,2017/2018 PI-SUV FULL PATROL BUILD - UPFIT 5 PATROL VEHICLES - 7420,20180116,12284 - INV0018198 - 01/16/2018 - 2200,101,700,5000,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,2216,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,12284,3024095,NULL,NULL,CHECK,Capital Outlay,2018,GENERAL 
EX,ARIZONA EMERGENCY PRODUCTS,"$33,933.54 ",7420,POLICE 2017 FORD INCEPTOR  VEHICLES UPFIT - 7420,20170602,12284 - INV0016946 - 06/02/2017 - 2200,101,700,5000,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,447,2017,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,12284,3020922,NULL,NULL,CHECK,Capital Outlay,2017,GENERAL 
EX,AUTOMOBILE CONSULTING SERVICES LLC,"$20,324.33 ",7420,2015 FORD TRANSIT WHITE VAN FOR ANIMAL CARE & WELFARE - 7420,20170929,548 - 108192 - 09/29/2017 - 2200,101,700,5000,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,1390,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,548,3022601,NULL,NULL,CHECK,Capital Outlay,2017,GENERAL 
EX,BOYS & GIRLS CLUB OF THE COLORADO RIVER,"$9,604.72 ",7320,REIMBURSEMENT FOR RESTROOM FIXTURES - ROTARY PARK - 7320,20180109,2678 - 010318 - 01/09/2018 - 2189,101,700,3550,101 - GENERAL ,700 - CAPITAL OUTLAY,3550 - PARKS MAINTENANCE,2152,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,2678,3024033,NULL,NULL,CHECK,Capital Outlay,2018,GENERAL 
EX,CPU DISTRIBUTING,"$11,141.00 ",7435,SONICWALL NSA 4600 SECURE FIREWALL - 7435,20171031,848 - 1207643 - 10/31/2017 - 2180,101,700,2050,101 - GENERAL ,700 - CAPITAL OUTLAY,2050 - TECHNOLOGY SERVICES,1647,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,848,3023115,NULL,NULL,CHECK,Capital Outlay,2017,GENERAL 
EX,CPU DISTRIBUTING,"$11,106.39 ",7435,SONICWALL NSA 4600 SECURE UPGRADE PLUS FIREWALL - 7435,20170628,848 - 1205046 - 06/28/2017 - 10434,101,700,9500,101 - GENERAL ,700 - CAPITAL OUTLAY,9500 - GENERAL SERVICES,588,2017,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,848,3021402,NULL,NULL,CHECK,Capital Outlay,2017,GENERAL 
EX,CREATIVE COMMUNICATIONS SALES & RENTALS INC.,"$79,679.46 ",7435,"RADIO TOWER BACKHAUL NETWORK-INSTALLATION, OPTIMIZATION 4 SITES - 7435",20170420,9731 - 393454 - 04/20/2017 - 2180,101,700,2050,101 - GENERAL ,700 - CAPITAL OUTLAY,2050 - TECHNOLOGY SERVICES,81,2017,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,9731,3020517,NULL,2017-00000054,CHECK,Capital Outlay,2017,GENERAL 
EX,"DAVENPORT GROUP, INC.","$33,433.50 ",7435,PD HOST SERVER - 7435,20180328,20353 - 99522 - 03/28/2018 - 2180,101,700,2050,101 - GENERAL ,700 - CAPITAL OUTLAY,2050 - TECHNOLOGY SERVICES,2678,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,20353,3025067,NULL,NULL,CHECK,Capital Outlay,2018,GENERAL 
EX,"DAVENPORT GROUP, INC.","$33,433.50 ",7435,PD STOARGE AREA NETWORK - 7435,20180328,20353 - 99523 - 03/28/2018 - 2180,101,700,2050,101 - GENERAL ,700 - CAPITAL OUTLAY,2050 - TECHNOLOGY SERVICES,2679,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,20353,3025067,NULL,NULL,CHECK,Capital Outlay,2018,GENERAL 
EX,"DAVENPORT GROUP, INC.","$33,433.50 ",7435,PD VIRTUAL SERVER HOST - 7435,20180320,20353 - 99508 - 03/20/2018 - 2180,101,700,2050,101 - GENERAL ,700 - CAPITAL OUTLAY,2050 - TECHNOLOGY SERVICES,2626,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,20353,3024979,NULL,NULL,CHECK,Capital Outlay,2018,GENERAL 
EX,"DAVENPORT GROUP, INC.","$14,799.18 ",7435,REPLACEMENT SWITCH - 7435,20180320,20353 - 99521 - 03/20/2018 - 2180,101,700,2050,101 - GENERAL ,700 - CAPITAL OUTLAY,2050 - TECHNOLOGY SERVICES,2627,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,20353,3024979,NULL,NULL,CHECK,Capital Outlay,2018,GENERAL 
EX,DELL MARKETING LP,"$31,957.21 ",7435,DELL XC730XD FOR ESCI - 7435,20170530,5399 - 10156606751 - 05/30/2017 - 2180,101,700,2050,101 - GENERAL ,700 - CAPITAL OUTLAY,2050 - TECHNOLOGY SERVICES,361,2017,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,5399,3020851,NULL,NULL,CHECK,Capital Outlay,2017,GENERAL 
EX,DELL MARKETING LP,"$31,957.21 ",7435,DELL XC730XD FOR ESXI - 7435,20170530,5399 - 10156606760 - 05/30/2017 - 2180,101,700,2050,101 - GENERAL ,700 - CAPITAL OUTLAY,2050 - TECHNOLOGY SERVICES,362,2017,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,5399,3020851,NULL,NULL,CHECK,Capital Outlay,2017,GENERAL 
EX,DELL MARKETING LP,"$31,957.21 ",7435,DELL XC730XD FOR ESXI DOCUMENT IMAGING SERVER - 7435,20170628,5399 - 10156906818 - 06/28/2017 - 2180,101,700,2050,101 - GENERAL ,700 - CAPITAL OUTLAY,2050 - TECHNOLOGY SERVICES,586,2017,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,5399,3021406,NULL,NULL,CHECK,Capital Outlay,2017,GENERAL 
EX,"ENFORCEMENT TECHNOLOGY GROUP, INC.","$24,010.11 ",7410,DIRECT LINK BRIDGE SERIES CRISIS RESPONSE SYSTEM - 7410,20171024,20219 - 4569 - 10/24/2017 - 2203,101,700,5010,101 - GENERAL ,700 - CAPITAL OUTLAY,5010 - POLICE PATROL,1577,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,20219,3022993,NULL,NULL,CHECK,Capital Outlay,2017,GENERAL 
EX,JOHN DEERE COMPANY,"$32,282.01 ",7410,JOHN DEERE GATORS - 7410,20171023,2829 - 115947693 - 10/23/2017 - 2190,101,700,3550,101 - GENERAL ,700 - CAPITAL OUTLAY,3550 - PARKS MAINTENANCE,1576,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,2829,3023006,NULL,NULL,CHECK,Capital Outlay,2017,GENERAL 
EX,MCCORMICK CONSTRUCTION CO,"$25,148.31 ",7320,HOT MIX (D 1/2) ASPHALT - 7320,20170614,1307 - AC 1648 - 06/14/2017 - 2189,101,700,3550,101 - GENERAL ,700 - CAPITAL OUTLAY,3550 - PARKS MAINTENANCE,515,2017,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,1307,3021219,NULL,NULL,CHECK,Capital Outlay,2017,GENERAL 
EX,MHQ OF ARIZONA,"$16,754.22 ",7420,"CARGO BOXES, CARGO RADIO TRAYS, TOUGHBOOK DOCKING STATIONS - 7420",20170621,3997 - 110484 - 06/21/2017 - 2200,101,700,5000,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,562,2017,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,3997,3021223,NULL,NULL,CHECK,Capital Outlay,2017,GENERAL 
EX,NEVADA TRANSIT & LASER,"$26,343.90 ",7410,SURVEYOR EQUIPMENT - 7410,20180109,9229 - 42800 - 01/09/2018 - 2215,101,700,6010,101 - GENERAL ,700 - CAPITAL OUTLAY,6010 - ENGINEERING,2151,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,9229,3024056,NULL,NULL,CHECK,Capital Outlay,2018,GENERAL 
EX,PEORIA FORD,"$30,116.51 ",7420,2017 FORD EXPLORER MP - PATROL VEHICLE - 7420,20180104,19980 - 183251 - 01/04/2018 - 2200,101,700,5000,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,2137,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,19980,3023961,NULL,NULL,CHECK,Capital Outlay,2018,GENERAL 
EX,PEORIA FORD,"$30,116.51 ",7420,2017 FORD EXPLORER MP - PATROL VEHICLE - 7420,20180104,19980 - 183252 - 01/04/2018 - 2200,101,700,5000,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,2138,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,19980,3023961,NULL,NULL,CHECK,Capital Outlay,2018,GENERAL 
EX,PEORIA FORD,"$30,116.51 ",7420,2017 FORD EXPLORER MP - PATROL VEHICLE - 7420,20180104,19980 - 183253 - 01/04/2018 - 2200,101,700,5000,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,2139,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,19980,3023961,NULL,NULL,CHECK,Capital Outlay,2018,GENERAL 
EX,PEORIA FORD,"$30,116.51 ",7420,2017 FORD EXPLORER MP - PATROL VEHICLE - 7420,20180104,19980 - 183254 - 01/04/2018 - 2200,101,700,5000,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,2140,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,19980,3023961,NULL,NULL,CHECK,Capital Outlay,2018,GENERAL 
