Transaction Type,Payee/Customer/Vendor Name,Amount,Transaction Description,Posting Date,Transaction ID,Fund1,Dept1,Div1,Dept_Name,Year,Fund_Name
EX,ABC SUPPLY CO INC,"$6,194.14","SUPERLT 8816 STD BLOCK TAN, SUPERLITE PALLET - 7320",20180117,7737 - 66504568 - 01/17/2018 - 2189,101 - GENERAL ,700 - CAPITAL OUTLAY,3550 - PARKS MAINTENANCE,Capital Outlay,2018,GENERAL 
EX,AIR SCIENCE USA LLC,"$8,373.00",60 W DUPLEX FORENSIC EVIDENCE DRYING CABINET - 7410,20171114,20267 - 40488 - 11/14/2017 - 10403,101 - GENERAL ,700 - CAPITAL OUTLAY,5020 - POLICE CRIMINAL INVESTGNS,Capital Outlay,2017,GENERAL 
EX,"ALPINE ARMORING, INC.","$71,750.00",50% DEPOSIT REQUIRED ON ARMORED 2017 FORD TRANSIT 350HD EXT VAN - 7420,20171005,20245 - A172609-AZ1 - 10/05/2017 - 2200,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,Capital Outlay,2017,GENERAL 
EX,AQUATIC ENVIRONMENTAL SYSTEMS INC,"$6,026.66","WATER CHEMISTRY CONTROLLER,BRIQUETTE FEEDER,CHEMICAL FEED PUMP  - 7320",20170816,99112 - IN41577 - 08/16/2017 - 2189,101 - GENERAL ,700 - CAPITAL OUTLAY,3550 - PARKS MAINTENANCE,Capital Outlay,2017,GENERAL 
EX,ARIZONA EMERGENCY PRODUCTS,"$61,443.08",2017/2018 PI-SUV FULL PATROL BUILD - UPFIT 5 PATROL VEHICLES - 7420,20180116,12284 - INV0018198 - 01/16/2018 - 2200,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,Capital Outlay,2018,GENERAL 
EX,ARIZONA EMERGENCY PRODUCTS,"$33,933.54",POLICE 2017 FORD INCEPTOR  VEHICLES UPFIT - 7420,20170602,12284 - INV0016946 - 06/02/2017 - 2200,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,Capital Outlay,2017,GENERAL 
EX,AUTOMOBILE CONSULTING SERVICES LLC,"$20,324.33",2015 FORD TRANSIT WHITE VAN FOR ANIMAL CARE & WELFARE - 7420,20170929,548 - 108192 - 09/29/2017 - 2200,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,Capital Outlay,2017,GENERAL 
EX,BOYS & GIRLS CLUB OF THE COLORADO RIVER,"$9,604.72",REIMBURSEMENT FOR RESTROOM FIXTURES - ROTARY PARK - 7320,20180109,2678 - 010318 - 01/09/2018 - 2189,101 - GENERAL ,700 - CAPITAL OUTLAY,3550 - PARKS MAINTENANCE,Capital Outlay,2018,GENERAL 
EX,CPU DISTRIBUTING,"$11,141.00",SONICWALL NSA 4600 SECURE FIREWALL - 7435,20171031,848 - 1207643 - 10/31/2017 - 2180,101 - GENERAL ,700 - CAPITAL OUTLAY,2050 - TECHNOLOGY SERVICES,Capital Outlay,2017,GENERAL 
EX,CPU DISTRIBUTING,"$11,106.39",SONICWALL NSA 4600 SECURE UPGRADE PLUS FIREWALL - 7435,20170628,848 - 1205046 - 06/28/2017 - 10434,101 - GENERAL ,700 - CAPITAL OUTLAY,9500 - GENERAL SERVICES,Capital Outlay,2017,GENERAL 
EX,CREATIVE COMMUNICATIONS SALES & RENTALS INC.,"$79,679.46","RADIO TOWER BACKHAUL NETWORK-INSTALLATION, OPTIMIZATION 4 SITES - 7435",20170420,9731 - 393454 - 04/20/2017 - 2180,101 - GENERAL ,700 - CAPITAL OUTLAY,2050 - TECHNOLOGY SERVICES,Capital Outlay,2017,GENERAL 
EX,"DAVENPORT GROUP, INC.","$33,433.50",PD HOST SERVER - 7435,20180328,20353 - 99522 - 03/28/2018 - 2180,101 - GENERAL ,700 - CAPITAL OUTLAY,2050 - TECHNOLOGY SERVICES,Capital Outlay,2018,GENERAL 
