Hospital,Multi-Acute System,Cohort,Zip Code,IdOrgHosp,Full City and State,City/Town,State,County,Hospital Specific Discharges From a ZIP Code                     (A),Total Hospital Discharges                  (B),Total Discharges for ZIP Code                  (C),ZIP Code Level Discharges as a % of Total Hospital Discharges                        (=A/B),Hospital Specific Discharges From a ZIP Code as a % of Total ZIP Code Discharges                   (=A/C),Hospital Size by Discharges,Hospital Type,Hospital Size by Total Revenue
Anna Jaques Hospital,Not Applicable,Community Hospital,01950,1,"Newburyport, MA",Newburyport,MA,Essex County,1149,7107,1908,0.161671591,0.602201258,"1,000-9,999",Community Hospital,$100M-$250M
Anna Jaques Hospital,Not Applicable,Community Hospital,01913,1,"Amesbury, MA",Amesbury,MA,Essex County,1146,7107,1950,0.161249472,0.587692308,"1,000-9,999",Community Hospital,$100M-$250M
Anna Jaques Hospital,Not Applicable,Community Hospital,01952,1,"Salisbury, MA",Salisbury,MA,Essex County,634,7107,1133,0.089207823,0.559576346,"1,000-9,999",Community Hospital,$100M-$250M
Anna Jaques Hospital,Not Applicable,Community Hospital,01830,1,"Haverhill, MA",Haverhill,MA,Essex County,465,7107,4242,0.065428451,0.109618105,"1,000-9,999",Community Hospital,$100M-$250M
Anna Jaques Hospital,Not Applicable,Community Hospital,01860,1,"Merrimac, MA",Merrimac,MA,Essex County,309,7107,651,0.043478261,0.474654378,"1,000-9,999",Community Hospital,$100M-$250M
Anna Jaques Hospital,Not Applicable,Community Hospital,01832,1,"Haverhill, MA",Haverhill,MA,Essex County,217,7107,2705,0.030533277,0.080221811,"1,000-9,999",Community Hospital,$100M-$250M
Anna Jaques Hospital,Not Applicable,Community Hospital,01833,1,"Georgetown, MA",Georgetown,MA,Essex County,216,7107,811,0.030392571,0.266337855,"1,000-9,999",Community Hospital,$100M-$250M
Anna Jaques Hospital,Not Applicable,Community Hospital,01834,1,"Groveland, MA",Groveland,MA,Essex County,190,7107,726,0.026734206,0.261707989,"1,000-9,999",Community Hospital,$100M-$250M
Anna Jaques Hospital,Not Applicable,Community Hospital,01985,1,"West Newbury, MA",West Newbury,MA,Essex County,166,7107,375,0.023357253,0.442666667,"1,000-9,999",Community Hospital,$100M-$250M
Anna Jaques Hospital,Not Applicable,Community Hospital,01835,1,"Haverhill, MA",Haverhill,MA,Essex County,164,7107,1516,0.023075841,0.10817942,"1,000-9,999",Community Hospital,$100M-$250M
Anna Jaques Hospital,Not Applicable,Community Hospital,01951,1,"Newbury, MA",Newbury,MA,Essex County,159,7107,289,0.022372309,0.55017301,"1,000-9,999",Community Hospital,$100M-$250M
Anna Jaques Hospital,Not Applicable,Community Hospital,01969,1,"Rowley, MA",Rowley,MA,Essex County,152,7107,618,0.021387365,0.245954693,"1,000-9,999",Community Hospital,$100M-$250M
Anna Jaques Hospital,Not Applicable,Community Hospital,01922,1,"Byfield, MA",Byfield,MA,Essex County,150,7107,323,0.021105952,0.464396285,"1,000-9,999",Community Hospital,$100M-$250M
Anna Jaques Hospital,Not Applicable,Community Hospital,01938,1,"Ipswich, MA",Ipswich,MA,Essex County,95,7107,1612,0.013367103,0.058933002,"1,000-9,999",Community Hospital,$100M-$250M
Anna Jaques Hospital,Not Applicable,Community Hospital,01921,1,"Boxford, MA",Boxford,MA,Essex County,47,7107,709,0.006613198,0.06629055,"1,000-9,999",Community Hospital,$100M-$250M
