Source Indicator ID,Source Name,Indicator Category,Indicator Name,Indicator Description,Year,Location,Value,Unit,Desired Direction
S2401_C01_001E,American Community Survey,Income,All occupations,,2010,Bullhead City,15218,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2010,AZ,2747475,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2010,US,141833331,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2011,Bullhead City,15068,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2011,AZ,2739077,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2011,US,141832499,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2012,Bullhead City,14450,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2012,AZ,2733537,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2012,US,141996548,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2013,Bullhead City,13726,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2013,AZ,2721866,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2013,US,141864697,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2014,Bullhead City,14054,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2014,AZ,2754982,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2014,US,143435233,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2015,Bullhead City,14372,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2015,AZ,2813406,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2015,US,145747779,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2016,Bullhead City,14182,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2016,AZ,2879372,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2016,US,148001326,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2017,Bullhead City,14086,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2017,AZ,2953891,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2017,US,150599165,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2018,Bullhead City,14651,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2018,AZ,3045978,people,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2018,US,152739884,people,high
