Source Indicator ID,Source Name,Indicator Category,Indicator Name,Indicator Description,Year,Location,Value,Gender,Unit,Desired Direction
B24012_002E,American Community Survey,Income,All occupations,,2010,Bullhead City,27657,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2010,AZ,37194,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2010,US,39084,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2011,Bullhead City,30713,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2011,AZ,37719,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2011,US,39749,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2012,Bullhead City,27855,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2012,AZ,37322,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2012,US,40062,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2013,Bullhead City,31114,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2013,AZ,37227,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2013,US,40148,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2014,Bullhead City,26980,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2014,AZ,36881,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2014,US,40225,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2015,Bullhead City,27195,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2015,AZ,36469,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2015,US,40337,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2016,Bullhead City,27109,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2016,AZ,36796,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2016,US,40756,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2017,Bullhead City,30014,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2017,AZ,37490,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2017,US,41542,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2018,Bullhead City,26253,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2018,AZ,39080,Male,people,high
B24012_002E,American Community Survey,Income,All occupations,,2018,US,42494,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2010,Bullhead City,46599,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2010,AZ,60815,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2010,US,63442,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2011,Bullhead City,48092,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2011,AZ,62261,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2011,US,65172,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2012,Bullhead City,44315,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2012,AZ,62655,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2012,US,65799,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2013,Bullhead City,46071,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2013,AZ,62151,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2013,US,66390,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2014,Bullhead City,51927,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2014,AZ,61843,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2014,US,66992,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2015,Bullhead City,50083,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2015,AZ,61845,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2015,US,67017,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2016,Bullhead City,51458,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2016,AZ,62148,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2016,US,68140,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2017,Bullhead City,54261,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2017,AZ,63834,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2017,US,70201,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2018,Bullhead City,53404,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2018,AZ,65425,Male,people,high
B24012_003E,American Community Survey,Income,"Management, business, science, and arts occupations",,2018,US,72257,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2010,Bullhead City,54706,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2010,AZ,64378,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2010,US,68028,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2011,Bullhead City,56713,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2011,AZ,66134,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2011,US,70390,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2012,Bullhead City,50536,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2012,AZ,65272,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2012,US,71035,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2013,Bullhead City,54137,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2013,AZ,65616,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2013,US,71705,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2014,Bullhead City,53750,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2014,AZ,65738,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2014,US,72298,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2015,Bullhead City,42242,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2015,AZ,65802,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2015,US,72285,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2016,Bullhead City,41820,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2016,AZ,66430,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2016,US,73563,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2017,Bullhead City,42399,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2017,AZ,68770,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2017,US,75347,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2018,Bullhead City,42929,Male,people,high
