Source Indicator ID,Source Name,Indicator Category,Indicator Name,Indicator Description,Year,Location,Value,Unit,Desired Direction
S2401_C01_001E,American Community Survey,Income,All occupations,,2010,Indianapolis,389468,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2010,Indiana,2999570,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2010,US,141833331,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2011,Indianapolis,386444,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2011,Indiana,2984502,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2011,US,141832499,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2012,Indianapolis,387379,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2012,Indiana,2978847,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2012,US,141996548,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2013,Indianapolis,385135,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2013,Indiana,2963879,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2013,US,141864697,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2014,Indianapolis,388776,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2014,Indiana,2994736,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2014,US,143435233,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2015,Indianapolis,396543,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2015,Indiana,3038762,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2015,US,145747779,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2016,Indianapolis,403860,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2016,Indiana,3085179,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2016,US,148001326,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2017,Indianapolis,409346,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2017,Indiana,3124295,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2017,US,150599165,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2018,Indianapolis,414877,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2018,Indiana,3164414,$,high
S2401_C01_001E,American Community Survey,Income,All occupations,,2018,US,152739884,$,high
S2401_C01_002E,American Community Survey,Income,"Management, business, science, and arts occupations",,2010,Indianapolis,131899,$,high
S2401_C01_002E,American Community Survey,Income,"Management, business, science, and arts occupations",,2010,Indiana,940029,$,high
S2401_C01_002E,American Community Survey,Income,"Management, business, science, and arts occupations",,2010,US,50034578,$,high
S2401_C01_002E,American Community Survey,Income,"Management, business, science, and arts occupations",,2011,Indianapolis,129846,$,high
S2401_C01_002E,American Community Survey,Income,"Management, business, science, and arts occupations",,2011,Indiana,948672,$,high
S2401_C01_002E,American Community Survey,Income,"Management, business, science, and arts occupations",,2011,US,50572279,$,high
S2401_C01_002E,American Community Survey,Income,"Management, business, science, and arts occupations",,2012,Indianapolis,130319,$,high
S2401_C01_002E,American Community Survey,Income,"Management, business, science, and arts occupations",,2012,Indiana,953358,$,high
S2401_C01_002E,American Community Survey,Income,"Management, business, science, and arts occupations",,2012,US,50976044,$,high
S2401_C01_002E,American Community Survey,Income,"Management, business, science, and arts occupations",,2013,Indianapolis,130830,$,high
S2401_C01_002E,American Community Survey,Income,"Management, business, science, and arts occupations",,2013,Indiana,950886,$,high
S2401_C01_002E,American Community Survey,Income,"Management, business, science, and arts occupations",,2013,US,51341226,$,high
S2401_C01_002E,American Community Survey,Income,"Management, business, science, and arts occupations",,2014,Indianapolis,130018,$,high
S2401_C01_002E,American Community Survey,Income,"Management, business, science, and arts occupations",,2014,Indiana,964687,$,high
